Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
1,220.00,0.08,0.70,D30,New,Centre,Run 1,3.82,19.09,17.66,4.54,19.66,183.00
2,340.00,0.08,0.70,D30,New,Centre,Run 1,4.17,18.53,17.14,4.88,18.83,227.00
3,220.00,0.12,0.70,D30,New,Centre,Run 1,4.11,16.58,15.34,4.53,16.89,337.00
4,340.00,0.12,0.70,D30,New,Centre,Run 1,1.47,7.60,7.15,1.74,8.22,120.00
5,220.00,0.08,1.20,D30,New,Centre,Run 1,10.35,45.08,41.22,12.07,45.08,465.00
6,340.00,0.08,1.20,D30,New,Centre,Run 1,4.26,18.70,17.80,4.96,19.23,236.00
7,220.00,0.12,1.20,D30,New,Centre,Run 1,1.86,10.47,9.87,2.27,11.55,131.00
8,340.00,0.12,1.20,D30,New,Centre,Run 1,2.17,14.33,10.43,2.61,14.33,153.00
9,179.09,0.10,0.95,D30,New,Centre,Run 1,4.98,22.41,20.68,5.82,23.19,258.00
10,380.91,0.10,0.95,D30,New,Centre,Run 1,6.11,27.40,23.87,6.96,27.40,296.00
11,280.00,0.07,0.95,D30,New,Centre,Run 1,4.12,20.92,19.16,4.92,21.20,219.00
12,280.00,0.13,0.95,D30,New,Centre,Run 1,3.06,14.51,13.32,3.55,14.67,187.00
13,280.00,0.10,0.53,D30,New,Centre,Run 1,1.31,8.93,7.41,1.63,9.96,108.00
14,280.00,0.10,1.37,D30,New,Centre,Run 1,5.09,25.57,22.75,6.12,25.57,218.00
15,280.00,0.10,0.95,D30,New,Centre,Run 1,6.74,30.57,27.90,7.94,30.57,348.00
16,280.00,0.10,0.95,D30,New,Centre,Run 1,6.10,27.68,26.40,7.20,27.68,312.00
17,280.00,0.10,0.95,D30,New,Centre,Run 1,6.20,28.06,26.22,7.26,28.06,389.00
1,220.00,0.08,0.70,D30,New,Centre,Run 2,3.85,21.17,18.82,4.60,21.48,209.00
2,340.00,0.08,0.70,D30,New,Centre,Run 2,4.18,18.76,17.86,4.92,18.86,238.00
3,220.00,0.12,0.70,D30,New,Centre,Run 2,2.07,12.81,10.16,2.49,12.88,146.00
4,340.00,0.12,0.70,D30,New,Centre,Run 2,1.63,8.92,7.72,1.94,9.21,130.00
5,220.00,0.08,1.20,D30,New,Centre,Run 2,9.39,40.67,38.76,11.09,40.82,425.00
6,340.00,0.08,1.20,D30,New,Centre,Run 2,4.20,19.32,18.33,4.91,19.37,222.00
7,220.00,0.12,1.20,D30,New,Centre,Run 2,1.95,11.86,9.94,2.36,11.91,129.00
8,340.00,0.12,1.20,D30,New,Centre,Run 2,2.71,14.28,12.89,3.28,15.36,183.00
9,179.09,0.10,0.95,D30,New,Centre,Run 2,4.71,23.00,20.55,5.59,23.00,247.00
10,380.91,0.10,0.95,D30,New,Centre,Run 2,6.13,23.10,22.43,6.98,23.10,297.00
