Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
1,220.0,0.08,0.7,D30,New,Live centre,1,3.82,17.66,4.54,19.66,183.0
2,340.0,0.08,0.7,D30,New,Live centre,1,4.17,17.14,4.88,18.83,227.0
3,220.0,0.12,0.7,D30,New,Live centre,1,4.11,15.34,4.53,16.89,337.0
4,340.0,0.12,0.7,D30,New,Live centre,1,1.47,7.15,1.74,8.22,120.0
5,220.0,0.08,1.2,D30,New,Live centre,1,10.35,41.22,12.07,45.08,465.0
6,340.0,0.08,1.2,D30,New,Live centre,1,4.26,17.8,4.96,19.23,236.0
7,220.0,0.12,1.2,D30,New,Live centre,1,1.86,9.87,2.27,11.55,131.0
8,340.0,0.12,1.2,D30,New,Live centre,1,2.17,10.43,2.61,14.33,153.0
9,179.09,0.1,0.95,D30,New,Live centre,1,4.98,20.68,5.82,23.19,258.0
10,380.91,0.1,0.95,D30,New,Live centre,1,6.11,23.87,6.96,27.4,296.0
11,280.0,0.07,0.95,D30,New,Live centre,1,4.12,19.16,4.92,21.2,219.0
12,280.0,0.13,0.95,D30,New,Live centre,1,3.06,13.32,3.55,14.67,187.0
13,280.0,0.1,0.53,D30,New,Live centre,1,1.31,7.41,1.63,9.96,108.0
14,280.0,0.1,1.37,D30,New,Live centre,1,5.09,22.75,6.12,25.57,218.0
15,280.0,0.1,0.95,D30,New,Live centre,1,6.74,27.9,7.94,30.57,348.0
16,280.0,0.1,0.95,D30,New,Live centre,1,6.1,26.4,7.2,27.68,312.0
17,280.0,0.1,0.95,D30,New,Live centre,1,6.2,26.22,7.26,28.06,389.0
1,220.0,0.08,0.7,D30,New,Live centre,2,3.85,18.82,4.6,21.48,209.0
2,340.0,0.08,0.7,D30,New,Live centre,2,4.18,17.86,4.92,18.86,238.0
3,220.0,0.12,0.7,D30,New,Live centre,2,2.07,10.16,2.49,12.88,146.0
4,340.0,0.12,0.7,D30,New,Live centre,2,1.63,7.72,1.94,9.21,130.0
5,220.0,0.08,1.2,D30,New,Live centre,2,9.39,38.76,11.09,40.82,425.0
6,340.0,0.08,1.2,D30,New,Live centre,2,4.2,18.33,4.91,19.37,222.0
7,220.0,0.12,1.2,D30,New,Live centre,2,1.95,9.94,2.36,11.91,129.0
8,340.0,0.12,1.2,D30,New,Live centre,2,2.71,12.89,3.28,15.36,183.0
